H713 CPU_COMM firmware routine table
====================================

Read live from the MIPS display firmware via /proc/cpu_comm/routines, with
the coprocessor alive (preboot `h713_disp init 0x34`) on 2026-08-30.

The table is the shared hash table at ShMemAddrBase + 30152: 1224 slots of
96 bytes, comp_id at +8, cpu_id at +2, a 32-byte name at +12 (hence the
truncated names), chain link at +92. comp_id is exactly the value a CALL
carries at msg+0x28 -- this is the name-to-number map for invoking anything.

100 entries: 82 named THal_Vp_* routines published by the firmware, plus 18
"(unnamed)" rows whose comp_id is a 0x8B10xxxx firmware KSEG address. Those
18 are OUR OWN registrations from cpu_comm_dev.c's mips_vp_ids[] -- a
different namespace, not firmware-published routines. They were previously
mistaken for "18 MIPS VP routes" available to call.

HAZARD, confirmed here by name: 0x0152f134 is THal_Vp_EnableScreenCover.
Calling it wedges CPU_COMM and hangs the SoC; physical power cycle only.

version 200, count 100
index  comp_id     cpu  next  name
   13  0xcfc4bc0d    1     -1  THal_Vp_GetSNR_1_000
   19  0x50817813    1     -1  THal_Vp_SetHDCP22Key_1_000
   23  0x7221d017    1     -1  THal_Vp_SetBrightness_1_000
   36  0xa16b7c24    1     -1  THal_Vp_AtvSetRegion_1_000
   51  0x023c4033    1     -1  THal_Vp_SetContrast_1_000
   56  0x24f44438    1     -1  THal_Vp_CvbsSetPedestalMode_1_00
   67  0x1a116843    1     -1  THal_Vp_SetGamma_1_000
   72  0x9ce74c48    1     -1  THal_Vp_HDMI_SetPortMap_1_000
   86  0x5432b456    1     -1  THal_Vp_GetHue_1_000
  107  0xa30d4c6b    1     -1  THal_Vp_EnableBlackScreen_1_000
  111  0x2fdcdc6f    1     -1  THal_Vp_EnableVideoFreeze_1_000
  135  0x143ffc87    1     -1  THal_Vp_DisableScreenCover_1_000
  136  0x71a4c888    1   1025  Thal_Vp_AtvIsFastSyncLock_1_000
  166  0x671ceca6    1     -1  THal_Vp_RegisterSignalChangeCall
  171  0x563e60ab    1     -1  THal_Vp_GetSharpness_1_000
  177  0x096b60b1    1     -1  THal_Vp_GetVBIData_1_000
  180  0xec2ca0b4    1     -1  THal_Vp_GetVBIOffset_1_000
  191  0x83a878bf    1     -1  THal_Vp_SetPictureMode_1_000
