=== AFBD 0x05600000..0x056001ff ===
05600000 0x80000020
05600004 0x00000000
05600008 0x00000000
0560000c 0x00000000
05600010 0x03000413
05600014 0x00000000
05600018 0x00000000
0560001c 0x00000000
05600020 0x02CF04FF
05600024 0x002C004F
05600028 0x00000000
0560002c 0x00000000
05600030 0x02D00500
05600034 0x00080808
05600038 0x00000010
0560003c 0x00000000
05600040 0x00000500
05600044 0x00000500
05600048 0x02D00500
0560004c 0x02D00500
05600050 0x00000000
05600054 0x00000000
05600058 0x0000003B
0560005c 0x00000046
05600060 0x00000011
05600064 0x00000100
05600068 0x00000022
0560006c 0x00000001
05600070 0x6C500000
05600074 0x6C500000
05600078 0x6C500000
0560007c 0x6C500000
05600080 0x00000000
05600084 0x6C5E1000
05600088 0x6C5E1000
0560008c 0x6C5E1000
05600090 0x6C5E1000
05600094 0x00000000
05600098 0x4D941000
0560009c 0x4D941000
056000a0 0x4D941000
056000a4 0x4D941000
056000a8 0x00000000
056000ac 0x00000000
056000b0 0x000FC580
056000b4 0x00000550
056000b8 0x00014672
056000bc 0x000107CD
056000c0 0x00000000
056000c4 0x00000001
056000c8 0x00000000
056000cc 0x00000000
056000d0 0x00000000
056000d4 0x00000000
056000d8 0x00000000
056000dc 0x00000000
056000e0 0x00000000
056000e4 0x00000000
056000e8 0x00000000
056000ec 0x00000000
056000f0 0x00000000
056000f4 0x00000000
056000f8 0x00000000
056000fc 0x00000000
05600100 0x00010000
05600104 0x00000000
05600108 0x00000000
0560010c 0x00000000
05600110 0x00000000
05600114 0x00000000
05600118 0x00000000
0560011c 0x00000000
05600120 0x00000000
05600124 0x00000808
05600128 0x00000000
0560012c 0x00000000
05600130 0x00000000
05600134 0x00000000
05600138 0x00000000
0560013c 0x00000000
05600140 0x03001900
05600144 0x00000000
05600148 0x008000FF
0560014c 0x00000080
05600150 0x02CF04FF
05600154 0x002C004F
05600158 0x00000000
0560015c 0x00000000
05600160 0x02D00500
05600164 0x00000808
05600168 0x00000002
0560016c 0x00000021
05600170 0x00001400
05600174 0x02D01400
05600178 0x6C100000
0560017c 0x00000000
05600180 0x00000000
05600184 0x0000003B
05600188 0x00000000
0560018c 0x00000000
05600190 0x00000000
05600194 0x00000000
05600198 0x00000000
0560019c 0x00000000
056001a0 0x00000000
056001a4 0x00000000
056001a8 0x00000000
056001ac 0x00000000
056001b0 0x00000000
056001b4 0x00000000
056001b8 0x00000000
056001bc 0x00000000
056001c0 0x00000000
056001c4 0x00000000
056001c8 0x00000000
056001cc 0x00000025
056001d0 0x00000000
056001d4 0x00000000
056001d8 0x00000000
056001dc 0x00000000
056001e0 0x00000000
056001e4 0x00000000
056001e8 0x00000000
056001ec 0x00000000
056001f0 0x00000000
056001f4 0x00000000
056001f8 0x00000000
056001fc 0x00000000
=== MIXER 0x0525c000..0x0525c03f ===
0525c000 0x02F80550
0525c004 0x00001003
0525c008 0x00000000
0525c00c 0x02000000
0525c010 0x00088008
0525c014 0x8FFF0008
0525c018 0x00200020
0525c01c 0x0500003C
0525c020 0x02D00016
0525c024 0x29000000
0525c028 0x000000FF
0525c02c 0x00000010
0525c030 0x02D00016
0525c034 0x0500003C
0525c038 0x00000040
0525c03c 0x00000000
=== TVTOP ===
0x05700000 0xFFF11111
0x05700040 0x00011111
0x05700044 0x11111111
0x05700080 0x00001111
0x05700084 0xFFF000EF
0x05700088 0x11111111
MIPS=0x00000001
