# Our Linux in the CONFIGURED-BUT-BLACK DECD state -- the same 11 windows
# as the stock and idle sweeps, captured 2026-08-29.
#
# State: 0068 kernel (DECD exclusive, KMS disabled), preboot 'h713_disp
# init 0x34' so the MIPS firmware stays alive, one NV12 frame submitted
# through /dev/decd. Verified in-state by 0x05600010 = 0x03000413,
# 0x05600020 = 0x02CF04FF, 0x05600040 = 0x00000500, 0x0560004c =
# 0x02D00500 -- byte-identical to the 2026-08-28 reference black dump.
#
# Captured by an on-board script writing to the rootfs rather than over
# the serial console: this state hard-locks the SoC within seconds to tens
# of seconds, and a lock over serial loses the whole capture.

05700000 0xFFF11111
05700004 0x00000001
05700008 0x00000000
0570000c 0x00000000
05700010 0x00000000
05700014 0x00000000
05700018 0x00000000
0570001c 0x00000000
05700020 0x00000000
05700024 0x00000000
05700028 0x00000000
0570002c 0x00000000
05700030 0x00000000
05700034 0x00000000
05700038 0x00000000
0570003c 0x00000000
05700040 0x00011111
05700044 0x11111111
05700048 0x00000000
0570004c 0x00000000
05700050 0x00000000
05700054 0x00000000
05700058 0x00000000
0570005c 0x00000000
05700060 0x00000000
05700064 0x00000000
05700068 0x00000000
0570006c 0x00000000
05700070 0x00000000
05700074 0x00000000
05700078 0x00000000
0570007c 0x00000000
05700080 0x00001111
05700084 0xFFF000EF
05700088 0x11111111
0570008c 0x00000000
05700090 0x00000000
05700094 0x00000000
05700098 0x00000000
0570009c 0x00000000
057000a0 0x00000000
057000a4 0x00000000
057000a8 0x00000000
057000ac 0x00000000
057000b0 0x00000000
057000b4 0x00000000
057000b8 0x00000000
057000bc 0x00000000
== MIXER
0525c000 0x02F80550
0525c004 0x00001402
0525c008 0x00000000
0525c00c 0x02000000
0525c010 0x00088008
0525c014 0x8FFF0008
0525c018 0x00200020
0525c01c 0x0500003C
0525c020 0x02D00016
0525c024 0x29000000
0525c028 0x000000FF
0525c02c 0x00000010
0525c030 0x02D00016
0525c034 0x0500003C
0525c038 0x00000040
0525c03c 0x00000000
0525c040 0x00000000
0525c044 0x00000000
0525c048 0x00000000
0525c04c 0x00000000
0525c050 0x00000000
0525c054 0x00000000
0525c058 0x00000000
0525c05c 0x00000000
0525c060 0x00000000
0525c064 0x00000000
0525c068 0x00000000
0525c06c 0x00000000
0525c070 0x00000000
0525c074 0x00000000
0525c078 0x00000000
0525c07c 0x00000000
== DE_OSD
0524c000 0x00FC0202
0524c004 0x05000016
0524c008 0x27000000
0524c00c 0x05000500
0524c010 0x02F80550
0524c014 0x00000200
0524c018 0x63000000
0524c01c 0x79860601
0524c020 0x00000000
0524c024 0x00000000
0524c028 0x00000000
0524c02c 0x00000000
0524c030 0x00000000
0524c034 0x00000000
0524c038 0x00000000
0524c03c 0x00000000
0524c040 0x00000000
0524c044 0x00000000
0524c048 0x00000000
0524c04c 0x40004000
0524c050 0x0000FF00
0524c054 0x00000000
0524c058 0x01000100
0524c05c 0x00000100
0524c060 0x00000000
0524c064 0x00000000
0524c068 0x03808080
0524c06c 0x00000000
0524c070 0x00000000
0524c074 0x00000000
0524c078 0x00000000
0524c07c 0x03000140
== LAYER
05280080 0x02D00500
05280084 0x02D00500
05280088 0x00000016
0528008c 0x00000000
05280090 0x00000000
05280094 0x00000000
05280098 0x00000000
0528009c 0x00000000
052800a0 0x00000000
052800a4 0x00000000
052800a8 0x00000000
052800ac 0x00000000
052800b0 0x00000000
052800b4 0x00000000
052800b8 0x00000000
052800bc 0x00000000
== AFBD
05600000 0x80000020
05600004 0x00000000
05600008 0x00000000
0560000c 0x00000000
05600010 0x03000413
05600014 0x00000000
05600018 0x00000000
0560001c 0x00000000
05600020 0x02CF04FF
05600024 0x002C004F
05600028 0x00000000
0560002c 0x00000000
05600030 0x02D00500
05600034 0x00080808
05600038 0x00000010
0560003c 0x00000000
05600040 0x00000500
05600044 0x00000500
05600048 0x02D00500
0560004c 0x02D00500
05600050 0x00000000
05600054 0x00000000
05600058 0x00000045
0560005c 0x0000003A
05600060 0x00000001
05600064 0x00000000
05600068 0x00000122
0560006c 0x00000001
05600070 0x6C500000
05600074 0x6C500000
05600078 0x6C500000
0560007c 0x6C500000
05600080 0x00000000
05600084 0x6C5E1000
05600088 0x6C5E1000
0560008c 0x6C5E1000
05600090 0x6C5E1000
05600094 0x00000000
05600098 0x4D941000
0560009c 0x4D941000
056000a0 0x4D941000
056000a4 0x4D941000
056000a8 0x00000000
056000ac 0x00000000
056000b0 0x000FC580
056000b4 0x00000550
056000b8 0x0005E574
056000bc 0x000033F4
056000c0 0x00000000
056000c4 0x00000001
056000c8 0x00000000
056000cc 0x00000000
056000d0 0x00000000
056000d4 0x00000000
056000d8 0x00000000
056000dc 0x00000000
056000e0 0x00000000
056000e4 0x00000000
056000e8 0x00000000
056000ec 0x00000000
056000f0 0x00000000
056000f4 0x00000000
056000f8 0x00000000
056000fc 0x00000000
05600100 0x00010000
05600104 0x00000000
05600108 0x00000000
0560010c 0x00000000
05600110 0x00000000
05600114 0x00000000
05600118 0x00000000
0560011c 0x00000000
05600120 0x00000000
05600124 0x00000808
05600128 0x00000000
0560012c 0x00000000
05600130 0x00000000
05600134 0x00000000
05600138 0x00000000
0560013c 0x00000000
05600140 0x03001901
05600144 0x00000000
05600148 0x008000FF
0560014c 0x00000080
05600150 0x02CF04FF
05600154 0x002C004F
05600158 0x00000000
0560015c 0x00000000
05600160 0x02D00500
05600164 0x00000808
05600168 0x00000002
0560016c 0x00000021
05600170 0x00001400
05600174 0x02D01400
05600178 0x6C100000
0560017c 0x00000000
05600180 0x00000000
05600184 0x0000003A
05600188 0x00000000
0560018c 0x00000000
05600190 0x00000000
05600194 0x00000000
05600198 0x00000000
0560019c 0x00000000
056001a0 0x00000000
056001a4 0x00000000
056001a8 0x00000000
056001ac 0x00000000
056001b0 0x00000000
056001b4 0x00000000
056001b8 0x00000000
056001bc 0x00000000
056001c0 0x00000000
056001c4 0x00000000
056001c8 0x00000000
056001cc 0x00000010
056001d0 0x00000000
056001d4 0x00000000
056001d8 0x00000000
056001dc 0x00000000
056001e0 0x00000000
056001e4 0x00000000
056001e8 0x00000000
056001ec 0x00000000
056001f0 0x00000000
056001f4 0x00000000
056001f8 0x00000000
056001fc 0x00000000
== ROUTE
05140050 0x00000000
05140054 0x40000080
05140058 0x00000002
0514005c 0x00000000
05140060 0x00000000
05140064 0x00000000
05140068 0x00000000
0514006c 0x00000000
== LVDS_PHY
051c0010 0x00000045
051c0014 0x18000005
051c0018 0x00000000
051c001c 0x00000000
051c0020 0x00301F30
051c0024 0x00300000
051c0028 0x1F300030
051c002c 0x00300030
051c0030 0x00000030
051c0034 0x00000000
051c0038 0x02000000
051c003c 0x05000000
051c0040 0x02D00000
051c0044 0x00000000
051c0048 0x00000200
051c004c 0x00000000
== PLL
058c0010 0x40000000
058c0014 0xB8002300
058c0018 0xC950311E
058c001c 0x00000000
058c0020 0x6F0F007F
058c0024 0x2F000007
058c0028 0x00030000
058c002c 0x00070010
== GE2D
05240000 0xFFFF0040
05240004 0x00000000
05240008 0x00000000
0524000c 0x00000000
05240010 0x00000000
05240014 0x00000000
05240018 0x00000000
0524001c 0x00000300
05240020 0x00000000
05240024 0x00000000
05240028 0x00000000
0524002c 0x00000000
05240030 0x00000000
05240034 0x00000000
05240038 0x00000000
0524003c 0x00000000
== MIPS
03061010 0x00000000
03061014 0x00000000
03061018 0x00000000
0306101c 0x00000001
== IOMMU
02010000 0x00000014
02010004 0x00000000
02010008 0x00000000
0201000c 0x00000000
02010010 0x8003007F
02010014 0x00000000
02010018 0x00000000
0201001c 0x00000000
02010020 0x00000001
02010024 0x00000000
02010028 0x00000000
0201002c 0x00000000
02010030 0x0000007C
02010034 0x00000000
02010038 0x00000000
0201003c 0x00000000
02010040 0x00000001
02010044 0x0000007F
02010048 0x0000007F
0201004c 0x0000007F
02010050 0x41FF0000
02010054 0x00000000
02010058 0x00000000
0201005c 0x00000000
02010060 0x0003007F
02010064 0x00000000
02010068 0x00000000
0201006c 0x00000000
02010070 0x0000007F
02010074 0x00000000
02010078 0x00000000
0201007c 0x00000000
SWEEP-COMPLETE
