== /tmp/claude-1000/-home-chris-Projects-h713/fff42109-98e0-48a7-abda-ddfefaf00ee0/scratchpad/fw: 5248 registers
   static          4974
   state-driven     242
   free-running      32

   state-driven registers (242):
     05000058  0x80040000 -> 0x00040000
     05000104  0x1B00FF00 -> 0x1100FF00
     05000178  0x6002021C -> 0xE002021C
     050001b8  0x60020438 -> 0xE0020438
     05000278  0x60020168 -> 0xE0020168
     050002b8  0x600202D0 -> 0xE00202D0
     05000630  0x00000000 -> 0x00F96900
     05000634  0x00000000 -> 0x1700840D
     05000638  0x00000000 -> 0xFB1200D6
     0500063c  0x00000000 -> 0x00971F00
     05000640  0x00000000 -> 0x18009810
     05000644  0x00000000 -> 0x580E0076
     05000648  0x00000000 -> 0x5D024000
     05000940  0x00000000 -> 0x00260500
     05000944  0x00000000 -> 0x04007C02
     05000948  0x00000000 -> 0xE80000E6
     0500094c  0x00000000 -> 0x002C0200
     05000950  0x00000000 -> 0x01005002
     05000954  0x00000000 -> 0xA8010086
     05000958  0x00000000 -> 0x0D000000
     050009d8  0x00000000 -> 0x00005476
     05000a40  0x00000000 -> 0x00000001
     05000a44  0x00000000 -> 0x00000001
     05000a48  0x010EC00C -> 0x0239A025
     05000a58  0x021CC00C -> 0x03875021
     05000a60  0x01400140 -> 0x06040604
     05000a6c  0x00000000 -> 0x000007A8
     05000a70  0x00000001 -> 0x00000010
     05000a84  0x00000001 -> 0x00000010
     05000a98  0x00000240 -> 0x00000009
     05000ac0  0x00000000 -> 0x000E1000
     05000ac4  0x00000000 -> 0x000E1000
     05000ac8  0x00000000 -> 0x000E1000
     05000acc  0x00000000 -> 0x000E1000
     05000ad0  0x00000000 -> 0x00070800
     05000ad4  0x00000000 -> 0x00038400
     05000ad8  0x00000000 -> 0x00070800
     05000adc  0x00000000 -> 0x00038400
     05000ae0  0x00000005 -> 0x0000000F
     05040014  0x00666000 -> 0x006E6000
     05040150  0x00000000 -> 0x000049FB
     05040154  0x00000000 -> 0x0000830B
     05040158  0x00000000 -> 0x0000242D
     0504015c  0x000E0A60 -> 0x000D192D
     05040180  0x00000000 -> 0x01F801F8
     050401a0  0x000E1000 -> 0x0000836F
     050401a4  0x00000000 -> 0x0001CC3A
     050401a8  0x00000000 -> 0x0002AB6E
     050401ac  0x00000000 -> 0x0001E08B
     050401b0  0x00000000 -> 0x0002EEC6
     050401b4  0x00000000 -> 0x0001F90D
     050401b8  0x00000000 -> 0x0002294A
     050401bc  0x00000000 -> 0x00002341
     050401d0  0x00000000 -> 0x000049FB
     050401d4  0x00000000 -> 0x0000830B
     050401d8  0x00000000 -> 0x0000242D
     050401dc  0x000E0A60 -> 0x000D192D
     05040280  0xC0000000 -> 0x00011717
     05040284  0x00000000 -> 0x0000DA3E
     0504028c  0x00000000 -> 0x0000C429
     05040290  0x00000000 -> 0x0000B10D
     05040298  0x00000000 -> 0x00002139
     0504029c  0x00000000 -> 0x000036EE
     050402a4  0x00000000 -> 0x00010C79
     050402a8  0x00000000 -> 0x0000BF64
     050402b0  0x00000000 -> 0x0000D009
     050402b4  0x00000000 -> 0x00009067
     050402bc  0x00000000 -> 0x00001F69
     050402c0  0x00000000 -> 0x00002BD2
     05040300  0x3B3E0008 -> 0x3ABE0008
     05040304  0x3E383537 -> 0x3F363436
     05040308  0x01161208 -> 0x0416130B
     0504030c  0x36010402 -> 0x30360005
     05040310  0x180D3930 -> 0x18110133
     05040314  0x003F0000 -> 0x070A0400
     05040318  0x002B0008 -> 0x0A342A38
     0504031c  0x0000001C -> 0x3B373E16
     05040320  0x340C3C01 -> 0x2D390E0B
     05040324  0xE6111E34 -> 0xE6141805
     05040348  0x9A9A0010 -> 0xFFFF0010
     0504034c  0x009E9A9A -> 0x00FFFFFF
     05040354  0x0400030D -> 0x045D0312
     05040380  0x00000000 -> 0x010DC826
     05040384  0x00000000 -> 0x00C14482
     05040388  0x00000000 -> 0x00AA7953
     0504038c  0x00000000 -> 0x008E56AB
     05040390  0x00000000 -> 0x069A1DEC
     05040394  0x00000000 -> 0x00027E33
     05040398  0x00000000 -> 0x007278EE
     0504039c  0x00000000 -> 0x00269887
     050403a0  0x00000000 -> 0x00100000
     050403a4  0x00000000 -> 0x001C0026
     050403a8  0x00000000 -> 0x002A002E
     050403ac  0x00000000 -> 0x00680067
     050403b0  0x00000000 -> 0x01040081
     050403b4  0x00000000 -> 0x0345008D
     050403b8  0x00000000 -> 0x0232021B
     050403c0  0x00000000 -> 0x000035A0
     05040534  0x02D00000 -> 0x02CF0000
     05040538  0x05000000 -> 0x04FF0000
     05040814  0x00666000 -> 0x006E6000
     05040950  0x00000000 -> 0x000049FB
     05040954  0x00000000 -> 0x0000830B
     05040958  0x00000000 -> 0x0000242D
     0504095c  0x000E0A60 -> 0x000D192D
     05040980  0x00000000 -> 0x01F801F8
     050409a0  0x000E1000 -> 0x0000836F
     050409a4  0x00000000 -> 0x0001CC3A
     050409a8  0x00000000 -> 0x0002AB6E
     050409ac  0x00000000 -> 0x0001E08B
     050409b0  0x00000000 -> 0x0002EEC6
     050409b4  0x00000000 -> 0x0001F90D
     050409b8  0x00000000 -> 0x0002294A
     050409bc  0x00000000 -> 0x00002341
     050409d0  0x00000000 -> 0x000049FB
     050409d4  0x00000000 -> 0x0000830B
     050409d8  0x00000000 -> 0x0000242D
     050409dc  0x000E0A60 -> 0x000D192D
     05040a84  0x00000000 -> 0x0000DA3E
     05040a8c  0x00000000 -> 0x0000C429
     05040a90  0x00000000 -> 0x0000B10D
     05040a98  0x00000000 -> 0x00002139
     05040a9c  0x00000000 -> 0x000036EE
     05040aa4  0x00000000 -> 0x00010C79
     05040aa8  0x00000000 -> 0x0000BF64
     05040ab0  0x00000000 -> 0x0000D009
     05040ab4  0x00000000 -> 0x00009067
     05040abc  0x00000000 -> 0x00001F69
     05040ac0  0x00000000 -> 0x00002BD2
     05040b00  0x3B3E0008 -> 0x3ABE0008
     05040b04  0x3E383537 -> 0x3F363436
     05040b08  0x01161208 -> 0x0416130B
     05040b0c  0x36010402 -> 0x30360005
     05040b10  0x180D3930 -> 0x18110133
     05040b14  0x003F0000 -> 0x070A0400
     05040b18  0x002B0008 -> 0x0A342A38
     05040b1c  0x0000001C -> 0x3B373E16
     05040b20  0x340C3C01 -> 0x2D390E0B
     05040b24  0xE6111E34 -> 0xE6141805
     05040b48  0x9A9A0010 -> 0xFFFF0010
     05040b4c  0x009E9A9A -> 0x00FFFFFF
     05040b54  0x0400030D -> 0x045D0312
     05040b80  0x00000000 -> 0x010DC826
     05040b84  0x00000000 -> 0x00C14482
     05040b88  0x00000000 -> 0x00AA7953
     05040b8c  0x00000000 -> 0x008E56AB
     05040b90  0x00000000 -> 0x069A1DEC
     05040b94  0x00000000 -> 0x00027E33
     05040b98  0x00000000 -> 0x007278EE
     05040b9c  0x00000000 -> 0x00269887
     05040ba0  0x00000000 -> 0x00100000
     05040ba4  0x00000000 -> 0x001C0026
     05040ba8  0x00000000 -> 0x002A002E
     05040bac  0x00000000 -> 0x00680067
     05040bb0  0x00000000 -> 0x01040081
     05040bb4  0x00000000 -> 0x0345008D
     05040bb8  0x00000000 -> 0x0232021B
     05040bc0  0x00000000 -> 0x000035A0
     05040d34  0x02D00000 -> 0x02CF0000
     05040d38  0x05000000 -> 0x04FF0000
     050c028c  0x000246C8 -> 0x005246C8
     050c083c  0x00000F04 -> 0x00000F00
     050c0940  0x80414000 -> 0xBC05A244
     05140120  0x080C0800 -> 0x00000000
     05140210  0xFB7C157F -> 0x00001000
     05140214  0xFEF5FF05 -> 0x00000000
     05140218  0xFFD51136 -> 0x00001000
     0514021c  0xFFB0000B -> 0x00000000
     05140220  0x00001045 -> 0x00001000
     05140504  0x00060008 -> 0x00080008
     05140508  0x04000000 -> 0x14000000
     051405ac  0xA0E0360D -> 0xACE3773D
     051405b0  0xFFFE0F03 -> 0xFFFE2F1B
     051405b8  0x02000003 -> 0x02110003
     05140600  0x0911039F -> 0x0911058F
     05140604  0x0910039F -> 0x0910058F
     05140608  0x00E600D8 -> 0x01F801D9
     05140610  0x000000D8 -> 0x000001D9
     05140618  0x00000000 -> 0x0021001A
     0514061c  0x00000000 -> 0x04020021
     05140620  0x00000000 -> 0x000F0492
     05140624  0x00000000 -> 0x000D0008
     05140628  0x1C200000 -> 0x00080007
     0514062c  0x00000000 -> 0x04700019
     05140630  0x00000000 -> 0x00030000
     05140638  0x00000000 -> 0x00010F92
     0514063c  0x00000000 -> 0x0000DE43
     05140640  0x00000000 -> 0x0010319B
     05140644  0x00000000 -> 0x00014765
     05140648  0x00000000 -> 0x000073F1
     0514064c  0x00000000 -> 0x0009AAF0
     05140650  0x00000000 -> 0x00008865
     05140654  0x00000000 -> 0x00004166
     05140658  0x00546000 -> 0x0000429D
     0514065c  0x00000000 -> 0x00003674
     05140660  0x00000000 -> 0x00077668
     05140664  0x00000000 -> 0x0000C6A2
     05140668  0x00000000 -> 0x00003683
     0514066c  0x00000000 -> 0x00000073
     05140680  0x00000000 -> 0x0000048F
     05140684  0x00000000 -> 0x00040005
     05140688  0x00000000 -> 0x00040005
     0514068c  0x00000000 -> 0x04710035
     05140690  0x00000000 -> 0x001304BC
     05140694  0x00000000 -> 0x002A0026
     051406a8  0x00000000 -> 0x00000045
     051406ac  0x00000000 -> 0x00144532
     051406b0  0x00000000 -> 0x000027BE
     051406b4  0x00000000 -> 0x0000215F
     051406b8  0x00000000 -> 0x000020B3
     051406bc  0x00000000 -> 0x0000270A
     051406c0  0x00000000 -> 0x00181908
     051406c4  0x00000000 -> 0x0001D738
     051406c8  0x00000000 -> 0x00007B70
     051406cc  0x00000000 -> 0x000CAE75
     051406d0  0x00000000 -> 0x0001674B
     051406d4  0x00000000 -> 0x00012697
     05140e08  0x00500000 -> 0x016801EC
     05140e0c  0x00000004 -> 0x000003C0
     05140e3c  0x00000142 -> 0x03BC035A
     05140e44  0x00000000 -> 0x05000500
     05140e4c  0xFFFF0000 -> 0x000102CF
     05140e50  0x00000000 -> 0x02CF0000
     05600010  0x03000010 -> 0x03000013
     05600020  0x043F077F -> 0x02CF04FF
     05600024  0x00420077 -> 0x002C004F
     05600040  0x00000780 -> 0x00000500
     05600044  0x00000780 -> 0x00000500
     05600070  0x00000000 -> 0x6C500000
     05600074  0x00000000 -> 0x6C500000
     05600078  0x00000000 -> 0x6C500000
     0560007c  0x00000000 -> 0x6C500000
     05600084  0x00000000 -> 0x6C5E1000
     05600088  0x00000000 -> 0x6C5E1000
     0560008c  0x00000000 -> 0x6C5E1000
     05600090  0x00000000 -> 0x6C5E1000
     05600098  0x00000000 -> 0x4D941000
     0560009c  0x00000000 -> 0x4D941000
     056000a0  0x00000000 -> 0x4D941000
     056000a4  0x00000000 -> 0x4D941000
     056000c0  0x00000001 -> 0x00000000
     056000c4  0x00000000 -> 0x00000001

   free-running (32): 05000a04 05000a08 05040560 05040564 05040a80 05040d60 05040d64 050c0880 050c0898 050c08a8 050c08b0 050c0944 050c0960 050c0964 050c0968 050c096c 05140168 0514057c 05140580 05140584 05140588 0514058c 051405a0 051405a4 051405a8 05140e2c 05140e30 05140e54 05600058 0560005c 056000b8 056000bc

