# Four-sample capture, stock Android, idle vs playback, 2026-08-31
#
# The stock half of the widened block comparison, and the first capture
# of these windows on a working system. Vendor stack reached via
# 'run switch_vendor' at our U-Boot prompt plus a power cycle.
#
# STATE 1  Android idle. Source 0 already reads 0x03000013 at rest.
# STATE 2  com.softwinner.TvdVideo playing a 1280x720 H.264 clip with a
#          silent AAC track, VISUALLY CONFIRMED on the panel by the
#          operator, decoder logging QueueBufferToShow, and the AFBD
#          buffer ring cycling (0x01500000/0x01B00000/0x00400000/...).
#
# POSITIVE CONTROL PASSED: AFBD Y/C bases classify free-running here
# (cycling ring) and state-driven on the Linux side (installed once), so
# both captures observed their real states.
#
# Read with hidtvreg-read via /dev/hidtvreg, byte-identical format to
# mmio-read, so it diffs line-for-line against
# linux-mips-alive-decd-4sample-2026-08-31.txt.
#
== state1-a
05000000 0xFFFFFFFF
05000004 0x0E807901
05000008 0x00000000
0500000c 0x00000000
05000010 0x00000000
05000014 0x00000000
05000018 0x01000004
0500001c 0x00808000
05000020 0x00000068
05000024 0x00000000
05000028 0x00000000
0500002c 0x030303C3
05000030 0x00000C00
05000034 0x003F00C0
05000038 0x00000000
0500003c 0x00000000
05000040 0x02090208
05000044 0x00000023
05000048 0x0000AAAA
0500004c 0x00000000
05000050 0x00000000
05000054 0x00000000
05000058 0x00040000
0500005c 0x00000000
05000060 0x00000000
05000064 0x00080000
05000068 0x00000000
0500006c 0x04000000
05000070 0x00000000
05000074 0x00000000
05000078 0x00000000
0500007c 0x00000000
05000080 0x00000000
05000084 0x00000000
05000088 0x00000000
0500008c 0x00000000
05000090 0x00000000
05000094 0x00000000
05000098 0x00000000
0500009c 0x00000000
050000a0 0x00000000
050000a4 0x00000000
050000a8 0x00000000
050000ac 0x00000000
050000b0 0x00000000
050000b4 0x00000000
050000b8 0x00000000
050000bc 0x00000000
050000c0 0x00000000
050000c4 0x00000000
050000c8 0x00000000
050000cc 0x00000000
050000d0 0x00000000
050000d4 0x00000000
050000d8 0x00000000
050000dc 0x00000000
050000e0 0x00000000
050000e4 0x00000000
050000e8 0x00000000
050000ec 0x00000000
050000f0 0x63004040
050000f4 0x0000003F
050000f8 0x00000000
050000fc 0xC0200002
05000100 0x32008000
05000104 0x1100FF00
05000108 0x594C3F3F
0500010c 0x8C7F7266
05000110 0xBFB2A599
05000114 0xF2E5D8CC
05000118 0x847A7066
0500011c 0xADA3998E
05000120 0xD6CCC1B7
05000124 0xFFF4EAE0
05000128 0x7A70665B
0500012c 0xA3998E84
05000130 0xCCC1B7AD
05000134 0xF4EAE0D6
05000138 0x04FFFFFF
0500013c 0x00001820
05000140 0x04D35A00
05000144 0x04D4F300
05000148 0x04D4F300
0500014c 0x04D4F300
05000150 0x04D4F300
05000154 0x04D4F300
05000158 0x00000000
0500015c 0x00000000
