ctrl             frames    luma-diff  chroma-diff  verdict
0x100                40      1044480       522240  WROTE 1044480 bytes
0x200                40       522240       261120  WROTE 522240 bytes
0x300                40            0            0  NULL (buffer untouched)
0x400                40      1044480       522240  WROTE 1044480 bytes
0x500                40       522240       261120  WROTE 522240 bytes
0x800                40       522240       261120  WROTE 522240 bytes
0x900                40       261120       130560  WROTE 261120 bytes
0xa00                40       130560        65280  WROTE 130560 bytes
0xc00                40       117240         3536  WROTE 117240 bytes
0xd00                40        66264         2048  WROTE 66264 bytes
0x1100               40      1044480       522240  WROTE 1044480 bytes
0x1000               40            0            0  NULL (buffer untouched)
